

"CSV Field ","resourceDetail Object Property "
"ResourceAgencyNum ","/id "
"PublicName ","/names[@purpose=“Primary“]/value "
"AlternateName ","/names[@purpose=“Alternate“]/value "
"OfficialName ","/names[@purpose=“Official“]/value "
"TaxonomyLevelName ","/type "
"ParentAgency ","/related[@type=“Agency“]/name "
"ParentAgencyNum ","/related[@type=“Agency“]/id "
"RecordOwner ","/databaseID "
"UniqueIDPriorSystem ",
"MailingAttentionName ","/contactDetails/contact[@type=“postalAddress“ &amp;&amp; "
,"@purpose=“Mailing“]/attention "
"MailingAddress1 ","/contactDetails/contact[@type=“postalAddress“ &amp;&amp; "
,"@purpose=“Mailing“]/address1 "
"MailingAddress2 ","/contactDetails/contact[@type=“postalAddress“ &amp;&amp; "
,"@purpose=“Mailing“]/address2 "
"MailingCity ","/contactDetails/contact[@type=“postalAddress“ &amp;&amp; "
,"@purpose=“Mailing“]/city "
"MailingStateProvince ","/contactDetails/contact[@type=“postalAddress“ &amp;&amp; "
,"@purpose=“Mailing“]/stateProvince "
"MailingPostalCode ","/contactDetails/contact[@type=“postalAddress“ &amp;&amp; "
,"@purpose=“Mailing“]/zipPostalCode "
"MailingCountry ","/contactDetails/contact[@type=“postalAddress“ &amp;&amp; "
,"@purpose=“Mailing“]/country "
"MailingAddressIsPrivate ","/contactDetails/isPrivate[contact/@type=“postalAddress“ &amp;&amp; "
,"contact/@purpose=“Mailing“] "
"PhysicalAddress1 ","/contactDetails/contact[@type=“postalAddress“ &amp;&amp; "
,"@purpose=“Physical“]/address1 "
"PhysicalAddress2 ","/contactDetails/contact[@type=“postalAddress“ &amp;&amp; "
,"@purpose=“Physical“]/address2 "
"PhysicalCity ","/contactDetails/contact[@type=“postalAddress“ &amp;&amp; "
,"@purpose=“Physical“]/city "
"PhysicalStateProvince ","/contactDetails/contact[@type=“postalAddress“ &amp;&amp; "
,"@purpose=“Physical“]/stateProvince "
"PhysicalPostalCode ","/contactDetails/contact[@type=“postalAddress“ &amp;&amp; "
,"@purpose=“Physical“]/zipPostalCode "
"PhysicalCountry ","/contactDetails/contact[@type=“postalAddress“ &amp;&amp; "
,"@purpose=“Physical“]/country "
"PhysicalAddressIsPrivate ","/contactDetails/isPrivate[contact/@type=“postalAddress“ &amp;&amp; "
,"contact/@purpose=“Physical“] "
"OtherAddress1 ","/contactDetails/contact[@type=“postalAddress“ &amp;&amp; "
,"@purpose=null]/address1 "
"OtherAddress2 ","/contactDetails/contact[@type=“postalAddress“ &amp;&amp; "
,"@purpose=null]/address2 "
"OtherCity ","/contactDetails/contact[@type=“postalAddress“ &amp;&amp; "
,"@purpose=null]/city "
"OtherStateProvince ","/contactDetails/contact[@type=“postalAddress“ &amp;&amp; "
,"@purpose=null]/stateProvince "
"OtherPostalCode ","/contactDetails/contact[@type=“postalAddress“ &amp;&amp; "
,"@purpose=null]/ zipPostalCode "
"OtherCountry ","/contactDetails/contact[@type=“postalAddress“ &amp;&amp; "
,"@purpose=null]/ country "
"OtherAddressIsPrivate ","/contactDetails/isPrivate[contact/@type=“postalAddress“ &amp;&amp; "
,"contact/@purpose=null] "
"Latitude ","/contactDetails/contact[@type=“physicalLocation“ &amp;&amp; "
,"@purpose=“Physical“]/latitude "
"Longitude ","/contactDetails/contact[@type=“physicalLocation“ &amp;&amp; "
,"@purpose=“Physical“]/longitude "
"HoursOfOperation ","/hours/note "
"Phone1Number ","(/contactDetails/contact[@type=“phoneNumber“]/number)[1] "
"Phone1Name ","(/contactDetails/contact[@type=“phoneNumber“]/label)[1] "
"Phone2Number ","(/contactDetails/contact[@type=“phoneNumber“]/number)[2] "
"Phone2Name ","(/contactDetails/contact[@type=“phoneNumber“]/label)[2] "
"Phone3Number ","(/contactDetails/contact[@type=“phoneNumber“]/number)[3] "
"Phone3Name ","(/contactDetails/contact[@type=“phoneNumber“]/label)[3] "
"Phone4Number ","(/contactDetails/contact[@type=“phoneNumber“]/number)[4] "
"Phone4Name ","(/contactDetails/contact[@type=“phoneNumber“]/label)[4] "
"Phone5Number ","(/contactDetails/contact[@type=“phoneNumber“]/number)[5] "
"Phone5Description ","(/contactDetails/contact[@type=“phoneNumber“]/label)[5] "
"PhoneFax ","/contactDetails/contact[@type=“phoneNumber“ &amp;&amp; "
,"@purpose=“Fax“]/number "
"PhoneTTY ","/contactDetails/contact[@type=“phoneNumber“ &amp;&amp; "
,"@purpose=“TTY“]/number "
"PhoneTollFree ","/contactDetails/contact[@type=“phoneNumber“ &amp;&amp; "
,"@purpose=“TollFree“]/number "
"PhoneNumberHotline ",
"PhoneNumberBusinessLine ",
"PhoneNumberOutOfArea ",
"PhoneNumberAfterHours ","/contactDetails/contact[@type=“phoneNumber“ &amp;&amp; "
,"@purpose=“AfterHours“]/number "
"EmailAddressMain ","/contactDetails/contact[@type=“email“ &amp;&amp; "
